version,category,feature_name,funded_by,funded_by_link,developed_by,developed_by_link,md_file
3.0.0,Processing,New algorithm to extract specific nodes,North Road,https://north-road.com/,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0.0,Processing,pole of inaccessibility algorithm,North Road,https://north-road.com/,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0.0,Processing,New algorithm to compute geometry by expression,North Road,https://north-road.com/,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0.0,Processing,Add choice of simplification method to simplify,North Road,https://north-road.com/,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0.0,Processing,Angle threshold for smooth algorithm,North Road,https://north-road.com/,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0.0,Processing,Snap geometries to layer algorithm,North Road,https://north-road.com/,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0.0,Processing,Sort by expression algorithm,DFAT/DMI,http://dfat.gov.au/pages/default.aspx,Etienne Trimaille (Kartoza),http://www.kartoza.com,index.md
3.0.0,Application and Project Options,Add support for user profiles,Not specified,,Nathan Woodrow,https://github.com/NathanW2,index.md
3.0.0,Application and Project Options,New zipped project file format .qgz,French ministry of Ecology and Sustainable Developpement,https://www.ecologique-solidaire.gouv.fr/,OSLANDIA - Paul Blottiere,https://github.com/pblottiere,index.md
3.0.0,Browser,Drag'n'drop layers from layer tree view to browser dock,Not specified,,Martin Dobias,,index.md
3.0.0,Browser,Standalone QGIS Browser application removed,Not specified,,Not specified,,index.md
3.0.0,Data Providers,New unified 'add layer' dialog,Not specified,,Alessandro Pasotti,https://www.itopen.it,index.md
3.0.0,Data Providers,GeoPackage,Not specified,,Alessandro Pasotti,,index.md
3.0.0,Data Providers,Support all GDAL writable raster formats for 'Save as' dialog on raster layers,Not specified,,Nyall Dawson,,index.md
3.0.0,Data Providers,"Support for Z/M geometries in gpkg, spatialite and memory layer provider","QWAT group, http://www.imhere-asia.com/",http://www.qwat.org,"Mathieu Pellerin, Alexander Bury, Paul Blottiere",,index.md
3.0.0,Data Providers,Unique and not-null constraint handling,OpenGIS.ch,,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0.0,Data Providers,GeoNode integration,WorldBank/GFDRR,https://www.gfdrr.org,Kartoza,http://kartoza.com,index.md
3.0.0,Data Providers,Detect literal default values for spatialite provider,North Road,https://north-road.com/,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0.0,Data Providers,Create attribute index support for spatialite provider,North Road,https://north-road.com/,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0.0,Data Providers,Add support for arrays,Not specified,,Patrick Valsecchi,,index.md
3.0.0,Data Providers,Support for HStore in PostGIS data provider,Not specified,,Not specified,,index.md
3.0.0,Data Providers,Add auto-discovery of relations for PostgresQL,Not specified,,Patrick Valsecchi,,index.md
3.0.0,Data Providers,Data dependencies between layers,Not specified,,Hugo Mercier,,index.md
3.0.0,Data Providers,dxf export: support reprojection,Not specified,,Juergen E. Fischer,,index.md
3.0.0,Data Providers,Load/save style in database for GPKG and Spatialite,Not specified,,Even Rouault,,index.md
3.0.0,Data Providers,Improved handling of defaults,Canton of Zug and the QGEP project,,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0.0,QGIS Server,Possibility to segmentize feature info geometry in server,Kanton of Zug,https://geo.zg.ch/,Marco Hugentobler,https://www.sourcepole.ch/,index.md
3.0.0,QGIS Server,QGIS Server overhaul,QGIS.ORG Donors,,Not specified,,index.md
3.0.0,Plugins,Offline editing: Add flag to only copy selected features,DB Fahrwegdienste GmbH,,Matthias Kuhn,,index.md
3.0.0,Plugins,allow installing plugins from local ZIP packages,Not specified,,Alexander Bruy,,index.md
3.0.0,Plugins,GDALTools moved to Processing,Not specified,,Alexander Bruy,,index.md
3.0.0,Plugins,Remove trusted status from Plugin Manager,Not specified,,Not specified,,index.md
3.0.0,Plugins,Plugins can provide a custom help in Expression window,DFAT/DMI,http://dfat.gov.au,Etienne Trimaille (Kartoza),http://www.kartoza.com,index.md
3.0.0,Programmability,Geometry class updates,Not specified,,"Matthias, Nyall and others",,index.md
3.0.0,Programmability,API to allow drag'n'drop of custom browser items,Not specified,,Martin Dobias,,index.md
3.0.0,Programmability,Task manager,QGIS Grant Program,,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0,General,Remove orphaned oracle raster plugin,Not specified,,Not specified,,index.md
3.0,General,Remove dxf2shp converter plugin,Not specified,,Not specified,,index.md
3.0,General,"Migrate Photo, WebView and FileName widgets to Attachment",Not specified,,Not specified,,index.md
3.0,General,remove TauDEM provider from core Processing,Not specified,,Not specified,,index.md
3.0,General,Removed otb and lidartools providers from processing,Not specified,,Not specified,,index.md
3.0,General,Remove zonal stats plugin,Not specified,,Not specified,,index.md
3.0,General,More help and possibility to configure location of the QGIS help files,Not specified,,Alexander Bruy,,index.md
3.0,Documentation,Processing algorithms enhancements,QGIS Grant Proposal,,"Matteo Ghetta (Faunalia), Alexander Bruy",http://www.faunalia.eu/,index.md
3.0,User Interface,Improved consistency to the user interface,QGIS Sponsors and Donors,,Nyall Dawson,https://north-road.com,index.md
3.0,User Interface,add search bar to the Configure Shortcuts dialog,Not specified,,Alexander Bruy,,index.md
3.0,User Interface,Add support for fine-resolution mouse wheel zooming,Not specified,,Matthias Kuhn,,index.md
3.0,User Interface,Enable tabbed floating docks,Not specified,,Not specified,,index.md
3.0,User Interface,Locator bar,Not specified,,Nyall Dawson,,index.md
3.0,User Interface,Improved map canvas' save as image,Andreas Neumann (partial funding),,Mathieu Pellerin,http://www.imhere-asia.com/,index.md
3.0,User Interface,Toggle visibility of opened panels in main window,Not specified,,Mathieu Pellerin,http://www.imhere-asia.com/,index.md
3.0,User Interface,Add an option to show user color schemes menus,North Road,https://north-road.com/,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0,User Interface,"More non-blocking, inline editing",Not specified,,Not specified,,index.md
3.0,User Interface,Color setting for map canvas north arrow decoration,Not specified,,Mathieu Pellerin,http://www.imhere-asia.com/,index.md
3.0,User Interface,Open layers in a single group,Kartoza,www.kartoza.com,Etienne Trimaille,https://github.com/Gustry,index.md
3.0,Symbology,"New ""preset"" colors color ramp option",North Road,https://north-road.com/,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0,Symbology,save and restore color ramp used for singleband pseudocolor rendering,Not specified,,Alexander Bruy,,index.md
3.0,Symbology,Data defined symbol layer visibility,North Road,https://north-road.com/,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0,Symbology,Raster stretch toolbar actions support for pseudocolor renderer,Not specified,,Mathieu Pellerin,,index.md
3.0,Symbology,Transparency support for paletted renderer,Not specified,,Mathieu Pellerin,http://www.imhere-asia.com/,index.md
3.0,Symbology,Support setting of color and transparency on multiple items for raster renderers,Not specified,,Mathieu Pellerin,http://www.imhere-asia.com/,index.md
3.0,Symbology,Control over annotation contents margins,North Road,https://north-road.com/,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0,Symbology,Show an alpha slider in color button drop down menu,North Road,https://north-road.com/,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0,Symbology,Annotations can be styled using fill symbol styles,North Road,https://north-road.com/,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0,Symbology,Point cluster renderer,"Andreas Neumann, Qtibia Engineering (Tudor Barascu), Karl-Magnus Jönsson, Geonesia (Nicolas Ponzo) & numerous additional anonymous backers whose generous contributions are also highly valued!",,Nyall Dawson,https://north-road.com/qgis-cluster-renderer-crowdfunding/,index.md
3.0,Symbology,NEW MAP COLORING ALGORITHMS IN QGIS 3.0,Not specified,,Nyall Dawson,,index.md
3.0,Symbology,Add Points and Inches to available symbol units,North Road,https://north-road.com/,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0,Symbology,Allow symbol layers to be temporarily disabled,North Road,https://north-road.com/,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0,Symbology,raster auto-stretching when updating canvas,Not specified,,Even Rouault,,index.md
3.0,Symbology,New color ramp button widget,Not specified,,Mathieu Pellerin,http://www.imhere-asia.com/,index.md
3.0,Symbology,Style management re-work and upgrade,Not specified,,Mathieu Pellerin,http://www.imhere-asia.com/,index.md
3.0,Symbology,Easy styling of discrete rasters,"Stéphane Henriod, Satelligence (http://satelligence.com/), Bird's Eye View (https://www.birdseyeviewgis.com/), other anonymous backers",,Nyall Dawson (North Road),http://north-road.com,index.md
3.0,Labelling,Custom labelling toolbar is now always enabled,French ministry of Ecology and Sustainable Developpement,https://www.ecologique-solidaire.gouv.fr/,OSLANDIA - Paul Blottiere,https://github.com/pblottiere,index.md
3.0,Labelling,Allow label font size in mm/pixels,North Road,https://north-road.com/,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0,Diagrams,Data definable properties,QGIS Grant Program,,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0,Rendering,Live layer support,Not specified,,Kartoza & North Road,,index.md
3.0,Rendering,Trigger layer refresh or layer actions from PostgreSQL NOTIFY signal,QGIS.org Grant application,https://qgis.org,OSLANDIA - Vincent Mora,https://github.com/vmora,index.md
3.0,Rendering,Cache labeling result to avoid unnecessary redraws when refreshing canvas,Not specified,,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0,Rendering,Grid renderer for points displacement,Not specified,,Muhammad Yarjuna Rohmat (Kartoza),www.kartoza.com,index.md
3.0,3D Features,3D map view and terrain generation,QGIS.ORG,https://qgis.org/,Martin Dobias (Lutra Consulting),https://www.lutraconsulting.co.uk/,index.md
3.0,3D Features,3D renderers for map layers,QGIS.ORG,https://qgis.org/,"Martin Dobias, Peter Petrik (Lutra Consulting)",https://www.lutraconsulting.co.uk/,index.md
3.0,Print Layouts,Map Composer Overhaul,The Swiss QGIS User Group and many more!,,Nyall Dawson (North Road),http://north-road.com,index.md
3.0,Print Layouts,Control over drawing of composer table grid horizontal & vertical lines,Not specified,,Mathieu Pellerin,http://www.imhere-asia.com/,index.md
3.0,Print Layouts,Drag qpt to QGIS to create new composer from template,SMEC (Surbana Jurong),http://www.smec.com/en_au,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0,Print Layouts,Allow customization of line spacing for composer legend item labels,Not specified,,Mathieu Pellerin,http://www.imhere-asia.com/,index.md
3.0,Print Layouts,Holding shift while drawing polyline/polygon constrains line angles,North Road,https://north-road.com/,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0,Print Layouts,More data definable controls,QGIS Grant Program,,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0,Print Layouts,Allow choice of CRS for map items,North Road,https://north-road.com/,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0,Expressions,New expression variables for map settings,North Road,https://north-road.com/,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0,Expressions,Expose @parent variable in aggregate functions,Not specified,,Matthias Kuhn (OPENGIS.ch),https://opengis.ch,index.md
3.0,Expressions,New expression functions,Not specified,,Not specified,,index.md
3.0,Expressions,new global expression variable @qgis_locale,Not specified,,Alexander Bruy,,index.md
3.0,Expressions,item_variables expression function inside compositions,North Road,https://north-road.com/,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0,Expressions,New expression variables,Not specified,,Not specified,,index.md
3.0,Digitising,Range vertex selection in node tool,French ministry in charge of ecology,https://www.ecologique-solidaire.gouv.fr/,Martin Dobias (Lutra Consulting),http://www.lutraconsulting.co.uk,index.md
3.0,Digitising,Add default Z value option,Not specified,,Alexander Lisovenko / Paul Blottiere,,index.md
3.0,Digitising,Move feature now benefits from Advanced Digitizing,Not specified,,Denis Rouzaud,,index.md
3.0,Digitising,Added functionnality to copy/move feature to move feature map tool,Not specified,,Denis Rouzaud,,index.md
3.0,Digitising,Tracing with offset,d.b.g. Datenbankgesellschaft mbH,http://www.datenbankgesellschaft.de/,Martin Dobias,http://www.lutraconsulting.co.uk,index.md
3.0,Digitising,Overhaul of the Vertex tool,QWAT,http://qwat.org/,Martin Dobias (Lutra Consulting),https://www.lutraconsulting.co.uk/,index.md
3.0,Digitising,Vertex tool: mid-point markers to add vertices,QWAT,http://qwat.org/,Martin Dobias (Lutra Consulting),https://www.lutraconsulting.co.uk/,index.md
3.0,Digitising,Vertex tool: continue line,QWAT,http://qwat.org/,Martin Dobias (Lutra Consulting),https://www.lutraconsulting.co.uk/,index.md
3.0,Digitising,Vertex tool: support for advanced digitizing panel,QWAT,http://qwat.org/,Martin Dobias (Lutra Consulting),https://www.lutraconsulting.co.uk/,index.md
3.0,Data Management,Metadata overhaul,WorldBank/GFDRR,http://gfdrr.org,Kartoza and collaborators,http://kartoza.com,index.md
3.0,Data Management,Pan to current feature in attribute table,Not specified,,Marco Hugentobler,,index.md
3.0,Data Management,Map of CRS-extent in Project properties,Not specified,,Not specified,,index.md
3.0,Data Management,Auxilliary Storage Support,Not specified,,Paul Blottiere / Oslandia,http://oslandia.com/,index.md
3.0,Data Management,Unified data source manager dialog,Boundless,,Alessandro Pasotti,https://www.itopen.it,index.md
3.0,Data Management,OSM Downloader tool removed,Not specified,,Not specified,,index.md
3.0,Forms and Widgets,Show field values in autocompleter in form filter mode,North Road,https://north-road.com/,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0,Forms and Widgets,Allow configuring link/unlink feature buttons on relation editor widget,Not specified,,Matthias Kuhn,,index.md
3.0,Forms and Widgets,Add layer scoped actions,Not specified,,Matthias Kuhn,,index.md
3.0,Forms and Widgets,Add between/not between to numerical fields in select by form,Not specified,,Mathieu Pellerin,http://www.imhere-asia.com/,index.md
3.0,Forms and Widgets,Add zoom to features and flash features shortcuts in select by form dialog,North Road,https://north-road.com/,Nyall Dawson (North Road),https://north-road.com/,index.md
3.0,Forms and Widgets,conditional visibility for tabs and groupboxes,Not specified,,Matthias Kuhn,,index.md
