version,version_name,release_date,category,feature_name,funded_by,funded_by_link,developed_by,developed_by_link,md_file
3.0.0,3.0.0 '<img',Not specified,Data Providers,Support for HStore in PostGIS data provider,Not specified,,Not specified,,index.md
3.0.0,3.0.0 '<img',Not specified,Data Providers,Add auto-discovery of relations for PostgresQL,Not specified,,Patrick Valsecchi,,index.md
3.0.0,3.0.0 '<img',Not specified,Data Providers,Data dependencies between layers,Not specified,,Hugo Mercier,,index.md
3.0.0,3.0.0 '<img',Not specified,Data Providers,dxf export: support reprojection,Not specified,,Jürgen Fischer,,index.md
3.0.0,3.0.0 '<img',Not specified,Data Providers,Load/save style in database for GPKG and Spatialite,Not specified,,Even Rouault,,index.md
3.0.0,3.0.0 '<img',Not specified,Data Providers,Improved handling of defaults,Canton of Zug and the QGEP project,,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,QGIS Server,Possibility to segmentize feature info geometry in server,Kanton of Zug,https://geo.zg.ch/,Marco Bernasocchi,,index.md
3.0.0,3.0.0 '<img',Not specified,QGIS Server,QGIS Server overhaul,QGIS.ORG Donors,,Not specified,,index.md
3.0.0,3.0.0 '<img',Not specified,Plugins,Offline editing: Add flag to only copy selected features,DB Fahrwegdienste GmbH,,Matthias Kuhn,,index.md
3.0.0,3.0.0 '<img',Not specified,Plugins,allow installing plugins from local ZIP packages,Not specified,,Alexander Bruy,,index.md
3.0.0,3.0.0 '<img',Not specified,Plugins,GDALTools moved to Processing,Not specified,,Alexander Bruy,,index.md
3.0.0,3.0.0 '<img',Not specified,Plugins,Remove trusted status from Plugin Manager,Not specified,,Not specified,,index.md
3.0.0,3.0.0 '<img',Not specified,Plugins,Plugins can provide a custom help in Expression window,DFAT/DMI,http://dfat.gov.au,Étienne Trimaille,,index.md
3.0.0,3.0.0 '<img',Not specified,Programmability,Geometry class updates,Not specified,,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Programmability,API to allow drag'n'drop of custom browser items,Not specified,,Martin Dobias,,index.md
3.0.0,3.0.0 '<img',Not specified,Programmability,Task manager,QGIS Grant Program,,Nyall Dawson,,index.md
3.0,3.0.0 '<img',Not specified,General,Remove orphaned oracle raster plugin,Not specified,,Not specified,,index.md
3.0,3.0.0 '<img',Not specified,General,Remove dxf2shp converter plugin,Not specified,,Not specified,,index.md
3.0,3.0.0 '<img',Not specified,General,"Migrate Photo, WebView and FileName widgets to Attachment",Not specified,,Not specified,,index.md
3.0,3.0.0 '<img',Not specified,General,remove TauDEM provider from core Processing,Not specified,,Not specified,,index.md
3.0,3.0.0 '<img',Not specified,General,Removed otb and lidartools providers from processing,Not specified,,Not specified,,index.md
3.0,3.0.0 '<img',Not specified,General,Remove zonal stats plugin,Not specified,,Not specified,,index.md
3.0,3.0.0 '<img',Not specified,General,More help and possibility to configure location of the QGIS help files,Not specified,,Alexander Bruy,,index.md
3.0,3.0.0 '<img',Not specified,Documentation,Processing algorithms enhancements,QGIS Grant Proposal,,Matteo Ghetta,,index.md
3.0,3.0.0 '<img',Not specified,User Interface,Improved consistency to the user interface,QGIS Sponsors and Donors,,Nyall Dawson,https://north-road.com,index.md
3.0,3.0.0 '<img',Not specified,User Interface,add search bar to the Configure Shortcuts dialog,Not specified,,Alexander Bruy,,index.md
3.0,3.0.0 '<img',Not specified,User Interface,Add support for fine-resolution mouse wheel zooming,Not specified,,Matthias Kuhn,,index.md
3.0,3.0.0 '<img',Not specified,User Interface,Enable tabbed floating docks,Not specified,,Not specified,,index.md
3.0,3.0.0 '<img',Not specified,User Interface,Locator bar,Not specified,,Nyall Dawson,,index.md
3.0,3.0.0 '<img',Not specified,User Interface,Improved map canvas' save as image,Andreas Neumann (partial funding),,Mathieu Pellerin,,index.md
3.0,3.0.0 '<img',Not specified,User Interface,Toggle visibility of opened panels in main window,Not specified,,Mathieu Pellerin,,index.md
3.0,3.0.0 '<img',Not specified,User Interface,Add an option to show user color schemes menus,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0,3.0.0 '<img',Not specified,User Interface,"More non-blocking, inline editing",Not specified,,Not specified,,index.md
3.0,3.0.0 '<img',Not specified,User Interface,Color setting for map canvas north arrow decoration,Not specified,,Mathieu Pellerin,,index.md
3.0,3.0.0 '<img',Not specified,User Interface,Open layers in a single group,Kartoza,www.kartoza.com,Étienne Trimaille,,index.md
3.0,3.0.0 '<img',Not specified,Symbology,"New ""preset"" colors color ramp option",North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0,3.0.0 '<img',Not specified,Symbology,save and restore color ramp used for singleband pseudocolor rendering,Not specified,,Alexander Bruy,,index.md
3.0,3.0.0 '<img',Not specified,Symbology,Data defined symbol layer visibility,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0,3.0.0 '<img',Not specified,Symbology,Raster stretch toolbar actions support for pseudocolor renderer,Not specified,,Mathieu Pellerin,,index.md
3.0,3.0.0 '<img',Not specified,Symbology,Transparency support for paletted renderer,Not specified,,Mathieu Pellerin,,index.md
3.0,3.0.0 '<img',Not specified,Symbology,Support setting of color and transparency on multiple items for raster renderers,Not specified,,Mathieu Pellerin,,index.md
3.0,3.0.0 '<img',Not specified,Symbology,Control over annotation contents margins,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0,3.0.0 '<img',Not specified,Symbology,Show an alpha slider in color button drop down menu,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0,3.0.0 '<img',Not specified,Symbology,Annotations can be styled using fill symbol styles,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0,3.0.0 '<img',Not specified,Symbology,Point cluster renderer,"Andreas Neumann, Qtibia Engineering (Tudor",,Nyall Dawson,,index.md
3.0,3.0.0 '<img',Not specified,Symbology,NEW MAP COLORING ALGORITHMS IN QGIS 3.0,Not specified,,Nyall Dawson,,index.md
3.0,3.0.0 '<img',Not specified,Symbology,Add Points and Inches to available symbol units,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0,3.0.0 '<img',Not specified,Symbology,Allow symbol layers to be temporarily disabled,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0,3.0.0 '<img',Not specified,Symbology,raster auto-stretching when updating canvas,Not specified,,Even Rouault,,index.md
3.0,3.0.0 '<img',Not specified,Symbology,New color ramp button widget,Not specified,,Mathieu Pellerin,,index.md
3.0,3.0.0 '<img',Not specified,Symbology,Style management re-work and upgrade,Not specified,,Mathieu Pellerin,,index.md
3.0,3.0.0 '<img',Not specified,Symbology,Easy styling of discrete rasters,"Stéphane Henriod, Satelligence",,Nyall Dawson,,index.md
3.0,3.0.0 '<img',Not specified,Labelling,Custom labelling toolbar is now always enabled,French ministry of Ecology and Sustainable,,Paul Blottiere,,index.md
3.0,3.0.0 '<img',Not specified,Labelling,Allow label font size in mm/pixels,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0,3.0.0 '<img',Not specified,Diagrams,Data definable properties,QGIS Grant Program,,Nyall Dawson,,index.md
3.0,3.0.0 '<img',Not specified,Rendering,Live layer support,Not specified,,Kartoza,,index.md
3.0,3.0.0 '<img',Not specified,Rendering,Trigger layer refresh or layer actions from PostgreSQL NOTIFY signal,QGIS.org Grant,,Vincent,,index.md
3.0,3.0.0 '<img',Not specified,Rendering,Cache labeling result to avoid unnecessary redraws when refreshing canvas,Not specified,,Nyall Dawson,,index.md
3.0,3.0.0 '<img',Not specified,Rendering,Grid renderer for points displacement,Not specified,,Muhammad Yarjuna Rohmat,,index.md
3.0,3.0.0 '<img',Not specified,3D Features,3D map view and terrain generation,QGIS.ORG,https://qgis.org/,Lutra Consulting,,index.md
3.0,3.0.0 '<img',Not specified,3D Features,3D renderers for map layers,QGIS.ORG,https://qgis.org/,Lutra Consulting,,index.md
3.0,3.0.0 '<img',Not specified,Print Layouts,Map Composer Overhaul,The Swiss QGIS User Group and many more!,,Nyall Dawson,,index.md
3.0,3.0.0 '<img',Not specified,Print Layouts,Control over drawing of composer table grid horizontal & vertical lines,Not specified,,Mathieu Pellerin,,index.md
3.0,3.0.0 '<img',Not specified,Print Layouts,Drag qpt to QGIS to create new composer from template,SMEC (Surbana,,Nyall Dawson,,index.md
3.0,3.0.0 '<img',Not specified,Print Layouts,Allow customization of line spacing for composer legend item labels,Not specified,,Mathieu Pellerin,,index.md
3.0,3.0.0 '<img',Not specified,Print Layouts,Holding shift while drawing polyline/polygon constrains line angles,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0,3.0.0 '<img',Not specified,Print Layouts,More data definable controls,QGIS Grant Program,,Nyall Dawson,,index.md
3.0,3.0.0 '<img',Not specified,Print Layouts,Allow choice of CRS for map items,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0,3.0.0 '<img',Not specified,Expressions,New expression variables for map settings,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0,3.0.0 '<img',Not specified,Expressions,Expose @parent variable in aggregate functions,Not specified,,Matthias Kuhn,,index.md
3.0,3.0.0 '<img',Not specified,Expressions,New expression functions,Not specified,,Not specified,,index.md
3.0,3.0.0 '<img',Not specified,Expressions,new global expression variable @qgis_locale,Not specified,,Alexander Bruy,,index.md
3.0,3.0.0 '<img',Not specified,Expressions,item_variables expression function inside compositions,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0,3.0.0 '<img',Not specified,Expressions,New expression variables,Not specified,,Not specified,,index.md
3.0,3.0.0 '<img',Not specified,Digitising,Range vertex selection in node tool,French ministry in charge of,,Lutra Consulting,,index.md
3.0,3.0.0 '<img',Not specified,Digitising,Add default Z value option,Not specified,,Paul Blottiere,,index.md
3.0,3.0.0 '<img',Not specified,Digitising,Move feature now benefits from Advanced Digitizing,Not specified,,Denis Rouzaud,,index.md
3.0,3.0.0 '<img',Not specified,Digitising,Added functionnality to copy/move feature to move feature map tool,Not specified,,Denis Rouzaud,,index.md
3.0,3.0.0 '<img',Not specified,Digitising,Tracing with offset,d.b.g. Datenbankgesellschaft,,Martin Dobias,,index.md
